gene_id,gene_symbol,panel,category
ENSG00000133627.18,ACTR3B,pam50,pam50_intrinsic
ENSG00000011426.11,ANLN,pam50,pam50_intrinsic
ENSG00000107262.26,BAG1,pam50,pam50_intrinsic
ENSG00000171791.14,BCL2,pam50,pam50_intrinsic
ENSG00000089685.15,BIRC5,pam50,pam50_intrinsic
ENSG00000106605.11,BLVRA,pam50,pam50_intrinsic
ENSG00000134057.15,CCNB1,pam50,pam50_intrinsic
ENSG00000105173.14,CCNE1,pam50,pam50_intrinsic
ENSG00000117399.14,CDC20,pam50,pam50_intrinsic
ENSG00000094804.12,CDC6,pam50,pam50_intrinsic
ENSG00000062038.14,CDH3,pam50,pam50_intrinsic
ENSG00000117724.13,CENPF,pam50,pam50_intrinsic
ENSG00000138180.16,CEP55,pam50,pam50_intrinsic
ENSG00000171604.12,CXXC5,pam50,pam50_intrinsic
ENSG00000146648.19,EGFR,pam50,pam50_intrinsic
ENSG00000141736.14,ERBB2,pam50,pam50_intrinsic
ENSG00000091831.24,ESR1,pam50,pam50_intrinsic
ENSG00000174371.17,EXO1,pam50,pam50_intrinsic
ENSG00000160867.15,FGFR4,pam50,pam50_intrinsic
ENSG00000129514.8,FOXA1,pam50,pam50_intrinsic
ENSG00000054598.9,FOXC1,pam50,pam50_intrinsic
ENSG00000173890.17,GPR160,pam50,pam50_intrinsic
ENSG00000141738.14,GRB7,pam50,pam50_intrinsic
ENSG00000142945.13,KIF2C,pam50,pam50_intrinsic
ENSG00000186847.6,KRT14,pam50,pam50_intrinsic
ENSG00000128422.17,KRT17,pam50,pam50_intrinsic
ENSG00000186081.12,KRT5,pam50,pam50_intrinsic
ENSG00000186868.16,MAPT,pam50,pam50_intrinsic
ENSG00000135679.25,MDM2,pam50,pam50_intrinsic
ENSG00000165304.8,MELK,pam50,pam50_intrinsic
ENSG00000261857.7,MIA,pam50,pam50_intrinsic
ENSG00000148773.14,MKI67,pam50,pam50_intrinsic
ENSG00000115648.14,MLPH,pam50,pam50_intrinsic
ENSG00000099953.10,MMP11,pam50,pam50_intrinsic
ENSG00000101057.16,MYBL2,pam50,pam50_intrinsic
ENSG00000136997.21,MYC,pam50,pam50_intrinsic
ENSG00000171428.15,NAT1,pam50,pam50_intrinsic
ENSG00000080986.13,NDC80,pam50,pam50_intrinsic
ENSG00000143228.13,NUF2,pam50,pam50_intrinsic
ENSG00000091651.9,ORC6,pam50,pam50_intrinsic
ENSG00000082175.15,PGR,pam50,pam50_intrinsic
ENSG00000092621.13,PHGDH,pam50,pam50_intrinsic
ENSG00000164611.13,PTTG1,pam50,pam50_intrinsic
ENSG00000171848.16,RRM2,pam50,pam50_intrinsic
ENSG00000104332.12,SFRP1,pam50,pam50_intrinsic
ENSG00000141424.13,SLC39A6,pam50,pam50_intrinsic
ENSG00000151715.8,TMEM45B,pam50,pam50_intrinsic
ENSG00000176890.16,TYMS,pam50,pam50_intrinsic
ENSG00000175063.17,UBE2C,pam50,pam50_intrinsic
ENSG00000077152.11,UBE2T,pam50,pam50_intrinsic
ENSG00000087586.18,AURKA,oncotype_dx,oncotype_proliferation
ENSG00000175356.14,SCUBE2,oncotype_dx,oncotype_estrogen
ENSG00000136943.11,CTSV,oncotype_dx,oncotype_invasion
ENSG00000134184.13,GSTM1,oncotype_dx,oncotype_other
ENSG00000129226.14,CD68,oncotype_dx,oncotype_other
ENSG00000075624.17,ACTB,oncotype_dx,oncotype_reference
ENSG00000111640.15,GAPDH,oncotype_dx,oncotype_reference
ENSG00000169919.17,GUSB,oncotype_dx,oncotype_reference
ENSG00000089157.16,RPLP0,oncotype_dx,oncotype_reference
ENSG00000072274.13,TFRC,oncotype_dx,oncotype_reference
